# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	0.9.7
#@/tick	6507
#@/user_id	39450050-b813-48cb-bd0a-6ded5e51c872
bu qing chu 	不清楚	c=1 d=1 t=3434
bu qu 	不去	c=1 d=1 t=194
bu quan 	補全	c=1 d=1 t=6267
bu ren 	不認	c=1 d=1 t=1383
bu rong yi 	不容易	c=0 d=0.1 t=4928
bu shang 	不上	c=0 d=0.1 t=1331
bu shang 	不傷	c=0 d=0.1 t=2241
bu shang qu 	不上去	c=0 d=0.1 t=1146
bu shao 	不少	c=2 d=1.09949 t=4602
bu shao ci 	不少次	c=1 d=1 t=2176
bu shao tu 	不少圖	c=1 d=1 t=4603
bu shi 	不是	c=20 d=1.41646 t=6271
bu shi hen hao 	不是很好	c=1 d=1 t=527
bu shi huan jue 	不是幻覺	c=1 d=1 t=506
bu shi ren 	不是人	c=1 d=1 t=5547
bu shi shuo 	不是說	c=2 d=1.0061 t=4801
bu shi yin wei 	不是因爲	c=1 d=1 t=1426
bu shi you 	不是有	c=1 d=1 t=2042
bu shou heng 	不守恆	c=1 d=1 t=5841
bu si 	不死	c=0 d=0.1 t=5657
bu suan 	不算	c=1 d=1 t=2410
bu tai 	不太	c=0 d=0.1 t=1220
bu tai qing chu 	不太清楚	c=1 d=1 t=1221
bu teng 	不疼	c=1 d=1 t=2830
bu tong 	不同	c=1 d=0.100007 t=5339
bu tong de shi 	不同的是	c=1 d=1 t=5340
bu tu 	不圖	c=0 d=0.1 t=5605
bu tu qian 	不圖錢	c=1 d=1 t=5606
bu wen ding 	不穩定	c=1 d=1 t=1864
bu xiang 	不想	c=1 d=0.225556 t=3051
bu xiang da 	不想打	c=1 d=1 t=3052
bu xiang le 	不響了	c=1 d=1 t=236
bu xiang rang 	不想讓	c=1 d=1 t=6463
bu xiao 	不小	c=1 d=1 t=192
bu xin 	不信	c=1 d=1 t=497
bu xing fu 	不幸福	c=1 d=1 t=3490
bu xu 	不許	c=1 d=1 t=6469
bu xu yao 	不需要	c=2 d=1.96561 t=3331
bu yao 	不要	c=1 d=0.100883 t=5324
